_id,LOC_ID,LOC_NAME,AUSPICE,ADDRESS,PCODE,ward,PHONE,bldg_type,BLDGNAME,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,subsidy,run_date,cwelcc_flag,geometry
1,1013,Lakeshore Community Child Care Centre,Non Profit Agency,101 SEVENTH ST,M8V 3B5,3,(416) 394-7601,Public Elementary School,Seventh Street Public School,0,20,32,52,60,164,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.50419384, 43.59992437]}"
2,1014,Alternative Primary School Parent Group,Non Profit Agency,1100 SPADINA RD,M5N 2M6,8,(416) 322-5385,Public Elementary School,North Preparatory Public School,0,0,12,26,30,68,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.42037489, 43.705765578]}"
3,1015,Cardinal Leger Child Care Centre (Scarborough),Non Profit Agency,600 MORRISH RD,M1C 4Y1,25,(416) 287-0578,Catholic Elementary School,Cardinal Leger Catholic School,0,10,16,26,50,102,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.175461625, 43.793287951]}"
4,1016,George Brown - Richmond Adelaide Childcare Centre,Non Profit Agency,130 ADELAIDE ST W,M5H 3P5,10,(416) 415-2453,Other,,10,15,40,0,0,65,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.383809196, 43.64968241]}"
5,1017,Woodland Nursery School (Warden Woods Community Centre),Non Profit Agency,1 FIRVALLEY CRT,M1L 1N8,20,(416) 694-1138x163,High Rise Apartment,,0,10,16,0,0,26,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.2810286285, 43.7029523574]}"
6,1021,Centennial College Progress Campus Child Care Centre,Non Profit Agency,941 PROGRESS AVE,M1G 3T8,24,(416) 289-5065,Community College/University,Centennial College Of Applied Arts & Technology,10,20,32,0,0,62,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.227026428, 43.785264658]}"
7,1029,Air-O-Down Child Care Centre,Non Profit Agency,7 HAWKSDALE RD,M3K 1W3,6,(416) 633-2014,Public High School,Downsview Secondary School,10,15,24,0,0,49,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.479517489, 43.730867839]}"
8,1031,Cedarbrae Day Nurseries (20 Greencrest),Commercial Agency,20 GREENCREST CIRCT,M1G 1B8,24,(416) 431-2504,High Rise Apartment,Greencrest Property,0,0,16,0,30,46,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.2234312468, 43.7583695279]}"
9,1037,Tiago Avenue Community Child Care,Non Profit Agency,145 TIAGO AVE,M4B 2A6,19,(416) 285-5644,Public Elementary School,Victoria Park Public School,0,0,16,0,30,46,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.2981539649, 43.7126977771]}"
10,1041,Ledbury Park Child Care Program,Non Profit Agency,95 FALKIRK ST,M5M 4K1,8,(416) 782-2539,Public Elementary School,Ledbury Park Public School,0,0,24,39,90,153,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.427182305, 43.727425311]}"
11,1044,Alderwood Action After School,Non Profit Agency,544 HORNER AVE,M8W 2C2,3,(416) 259-7738,Public Elementary School,Sir Adam Beck School,0,15,32,52,90,189,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.548275664, 43.601781231]}"
12,1045,Children's Village Day Care Centre #1,Commercial Agency,1050 MARKHAM RD,M1H 2Y7,24,(416) 438-3355,High Rise Apartment,,10,10,32,12,30,94,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.231567533, 43.774364871]}"
13,1046,Ferncliff Daycare And After School Group,Non Profit Agency,128 FERN AVE,M6R 1K3,4,(416) 588-1463,Public Elementary School,Fern Avenue Junior And Senior Public School,0,0,32,52,90,174,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.446112847, 43.645180313]}"
14,1055,Balmy Beach Community Day Care Centre,Non Profit Agency,14 PINE AVE,M4E 1L6,19,(416) 698-5668,Public Elementary School,Balmy Beach Public School,0,0,16,52,90,158,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.289826943, 43.676435913]}"
15,1060,Braeburn Woods Day Care Centre,Non Profit Agency,15 TANDRIDGE CRES,M9W 2N8,1,(416) 745-9472,Public Elementary School,Braeburn Junior School,0,10,16,25,30,81,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.548863811, 43.728029826]}"
16,1065,Network Child Care Services - Child's Nest Early Learning Centre,Non Profit Agency,121 COSBURN AVE,M4J 2L1,14,(416) 530-0722x4070,House,,20,20,0,0,0,40,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.3473897066, 43.6894844926]}"
17,1067,Martingrove Child Care Centre,Commercial Agency,256 JOHN GARLAND BLVD,M9V 1N8,1,(416) 742-1812,House,,0,15,32,0,15,62,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.590958081, 43.734260973]}"
18,1070,Discovery Place Child Care Centre Ltd.,Commercial Agency,22 TUXEDO CRT,M1G 3S3,24,(416) 439-0521,Purpose Built,,10,20,48,20,45,143,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.229639471, 43.780534456]}"
19,1072,Carefree Preschool,Commercial Agency,370 DIXON RD,M9R 1T2,1,(416) 244-5529,High Rise Apartment,,20,15,48,0,0,83,N,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.556154451, 43.695906596]}"
20,1079,East Scarb. Boys' & Girls' Club - Eastside Child Care Centre,Non Profit Agency,20 WALDOCK ST,M1E 2E5,24,(416) 281-0262x210,Public Elementary School,Eastview Public School,0,15,24,26,45,110,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.191280443, 43.758963359]}"
21,1083,Lori Gardens Centre For Early Learning,Commercial Agency,2405 FINCH AVE W,M9M 2X2,7,(416) 743-1222x221,High Rise Apartment,,10,15,28,22,25,100,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.544032103, 43.75062129]}"
22,1086,Network - Child's Nest Early Years And Child Care Centre - 123 Cosburn,Non Profit Agency,123 COSBURN AVE,M4J 2L1,14,(416) 530-0722x4077,House,,0,10,48,0,0,58,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.3472700626, 43.6894969221]}"
23,1091,Eastside Club Day Care - 100 Galloway Road,Non Profit Agency,100 GALLOWAY RD,M1E 1W7,24,(416) 281-0262x238,Community/Recreation Centre,,10,15,24,0,0,49,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.193338505, 43.757428446]}"
24,1093,Martin Luther Child Care - Superior,Non Profit Agency,5 SUPERIOR AVE,M8V 2M1,3,(416) 259-2861,House,,0,10,16,0,0,26,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.4876370893, 43.6149559543]}"
25,1094,Arbor Glen Community Child Care Centre,Non Profit Agency,55 FRESHMEADOW DR,M2H 3H6,17,(416) 497-4040,Public Elementary School,Arbor Glen Public School,0,0,24,26,45,95,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.355709443, 43.809486383]}"
26,1095,Frankland Day Care Centre,Non Profit Agency,816 LOGAN AVE,M4K 3E1,14,(416) 463-1413,Public Elementary School,Frankland Community School,0,0,0,26,50,76,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.349680084, 43.677150668]}"
27,1098,Early Adventures Nursery School & Child Care,Commercial Agency,200 MELROSE ST,M8Y 1B7,3,(416) 251-5151,Public Elementary School,George R Gauld Public School,0,15,24,26,30,95,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.498405689, 43.620566264]}"
28,1101,Beatty Buddies Daycare,Non Profit Agency,55 WOODINGTON AVE,M4C 3J6,19,(416) 570-8687,Public Elementary School,Earl Beatty Public School,0,15,40,65,120,240,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.321345627, 43.686068457]}"
29,1103,Selwyn Community Child Care Centre,Non Profit Agency,1 SELWYN AVE,M4B 3J9,19,(416) 285-9730,Public Elementary School,Selwyn Public School,0,0,16,26,45,87,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.3063291531, 43.7084482439]}"
30,1104,Mandi Day Care,Non Profit Agency,30 BARRHEAD CRES,M9W 3Z7,1,(416) 749-8110,Public (school closed),Mississauga Private School/ Rexdale (Closed),0,25,32,0,15,72,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.566552194, 43.719313229]}"
31,1111,Rolph Road Day Care,Non Profit Agency,31 ROLPH RD,M4G 3M5,15,(416) 487-5862,Public Elementary School,Rolph Road Public School,0,0,24,78,90,192,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.366000714, 43.699854125]}"
32,1116,Guildwood Child Care,Commercial Agency,3969 KINGSTON RD,M1J 3H8,24,(416) 261-4476,High Rise Apartment,,10,20,32,8,30,100,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.2033413635, 43.751490726]}"
33,1123,Ernie Boccia Creative Child Day Care (Rasheda Alli),Commercial Agency,1 NORTHWESTERN AVE,M6M 2J7,5,(416) 653-6305,Multi Human Services Facility,Harold And Grace Baker Centre,10,20,16,0,0,46,Y,26DEC25,Y,"{""type"": ""Point"", ""coordinates"": [-79.469923193, 43.697850989]}"
