LOC_ID,website,google_rating,google_reviews_count,google_maps_url,google_phone,google_hours_mon,google_hours_tue,google_hours_wed,google_hours_thu,google_hours_fri,google_hours_sat,google_hours_sun,google_photo_url,google_place_id,match_confidence,food_info,surveillance_cameras,religious_affiliation
1013,https://www.lccc.ca/,4.6,10,https://maps.google.com/?cid=10303002429248989611,(416) 394-7601,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,7:15 AM – 6:00 PM,Closed,Closed,,ChIJXZfjU89JK4gRq2lfKx-e-44,high,,,
1014,,,,https://maps.google.com/?cid=2415935218486008992,,,,,,,,,,ChIJLV-YTgkzK4gRoNw28kcghyE,high,,,
1015,http://www.cardinallegerchildcare.com/,5,1,https://maps.google.com/?cid=9476523365399159772,(416) 287-0578,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJa07s4jzb1IkR3GNOxMpfg4M,high,,,
1016,https://www.georgebrown.ca/child-care-centres/richmond-adelaide/,4.5,10,https://maps.google.com/?cid=12975654435686211810,(416) 415-2453,8:00 AM – 5:30 PM,8:00 AM – 5:30 PM,8:00 AM – 5:30 PM,8:00 AM – 5:30 PM,8:00 AM – 5:30 PM,Closed,Closed,,ChIJTxM2h800K4gR4mBMF_bIErQ,high,,,
1017,http://www.wardenwoods.com/,4.2,125.0,https://maps.google.com/?cid=11649982089757605807,(416) 694-1138,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,Closed,Closed,,ChIJhYgbfIvO1IkRrz-qg_wMraE,high,,,
1021,https://www.centennialcollege.ca/about-centennial/schools/school-of-community-and-health-studies/school-information/early-learning-centres/,4.3,9.0,https://maps.google.com/?cid=16234692551620097697,(416) 289-5000 ext. 52288,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJ7yzofvLQ1IkRofb-UNw2TeE,high,,,
1029,http://www.air-o-downchildcarecentre.com/,4.1,10.0,https://maps.google.com/?cid=5037343724515704943,(416) 633-2014,7:15 AM – 5:30 PM,7:15 AM – 5:30 PM,7:15 AM – 5:30 PM,7:15 AM – 5:30 PM,7:15 AM – 5:30 PM,Closed,Closed,,ChIJs0YWm4QxK4gRb0BNr2096EU,high,,,
1031,,3.0,2.0,https://maps.google.com/?cid=16718061696199490033,(416) 431-2504,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,Closed,Closed,,ChIJo4u1KEDQ1IkR8fkIX4l8Aug,high,,,
1037,,5,2,https://maps.google.com/?cid=5787645447965838178,(416) 285-5644,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ36vGb9HN1IkRYgvp497YUVA,high,,,
1041,http://ledburychildcare.ca/,5,2,https://maps.google.com/?cid=8434076615669296107,(416) 782-2539,,,,,,,,,ChIJd_C8r1cyK4gR66tlDf_bC3U,high,,,
1044,https://aaasi.ca/,4,6,https://maps.google.com/?cid=13173677045761071661,(416) 259-7738,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJL19-ZRJIK4gRLVpO2nlN0rY,high,,,
1045,http://www.edukids.ca/,3.2,11,https://maps.google.com/?cid=16625245218325700905,(416) 438-3355,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ5fB6rlnQ1IkRKaEQFnG8uOY,high,,,
1046,https://www.ferncliffdaycare.com/,5.0,3.0,https://maps.google.com/?cid=8140312481327699490,(416) 588-1463,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJF5fqL7U1K4gRIlY3khIz-HA,high,,,
1055,http://balmybeachdaycare.ca/,5,4,https://maps.google.com/?cid=11873679618220417673,(416) 698-5668,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJoWO_fwLM1IkRieLSDLTIx6Q,high,,,
1060,,5,1,https://maps.google.com/?cid=8598439088843765975,(416) 745-9472,,,,,,,,,ChIJkXG5I4YwK4gR17hdecvKU3c,high,,,
1065,http://networkchildcare.com/,5,7,https://maps.google.com/?cid=16509221821400810399,(416) 530-0722 ext. 4070,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ7VEjHPrN1IkRnwO55saJHOU,high,,,
1067,https://www.toronto.ca/data/children/dmc/webreg/gcreg1067.html,4.8,67.0,https://maps.google.com/?cid=14689028273175928912,(416) 742-1812,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJdShQOlg6K4gRUCBSfmPp2cs,high,,,
1070,,3.5,29.0,https://maps.google.com/?cid=4504824923982379022,(416) 439-0521,,,,,,,,,ChIJJR4rHffQ1IkRDrhLmWZahD4,high,,,
1072,https://carefreepreschool.com/,4.9,65.0,https://maps.google.com/?cid=16502512060390513635,(416) 244-5529,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJeWvmP6swK4gR4xst7UizBOU,high,,,
1079,https://www.esbgc.ca/,4.4,174.0,https://maps.google.com/?cid=11401396774241787748,(416) 281-0262,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJadVoJYna1IkRZF_3f_XlOZ4,high,,,
1083,http://www.cfel.ca/,3.8,14,https://maps.google.com/?cid=6522812652034390358,(416) 743-1222,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ8z5dPhMwK4gRVvnuNIyvhVo,high,,,
1086,http://www.networkchildcare.com/,4.4,20.0,https://maps.google.com/?cid=10892842163309186195,(416) 530-0722 ext. 4077,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJr63-FZLM1IkRkwxxGjwmK5c,high,,,
1091,https://www.esbgc.ca/,4.4,174,https://maps.google.com/?cid=11401396774241787748,(416) 281-0262,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJadVoJYna1IkRZF_3f_XlOZ4,high,,,
1093,https://martinlutherchildcare.ca/,3.3,14,https://maps.google.com/?cid=837378807103177453,(416) 259-2861,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ5UstmR42K4gR7ULTo5b3ngs,high,,,
1094,http://www.tdsb.on.ca/schools/index.asp?schno=3092,,,https://maps.google.com/?cid=17717192381441744634,(416) 497-4040,,,,,,,,,ChIJq9FN8mrT1IkR-p4X6Zkc4PU,high,,,
1095,https://franklanddaycare.ca/,5,3,https://maps.google.com/?cid=13230807305986655710,(416) 463-1413,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJv7LkAJ3M1IkR3kX6HCVFnbc,high,,,
1098,https://www.earlyadventures.ca/,3.6,27.0,https://maps.google.com/?cid=11203418718422663582,(416) 251-5151,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ54UgnSQ2K4gRnoGLVfeJeps,high,,,
1101,https://www.beattybuddies.ca/,4.6,5,https://maps.google.com/?cid=13730235184031309391,(416) 467-8687,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJES6nKW_M1IkRT57BaieYi74,high,,,
1103,http://www.selwynchildcare.com/,5.0,3.0,https://maps.google.com/?cid=14138688495089563579,(416) 285-9730,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJ643Op8zN1IkRuze3u0a2NsQ,high,,,
1104,http://mandidaycare.com/,4.1,14.0,https://maps.google.com/?cid=13649438149113780882,(416) 749-8110,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJkRQnV3E6K4gRkpqXxa2LbL0,high,,,
1111,https://leasidedaycare.com/,4.0,4.0,https://maps.google.com/?cid=17509259007708939697,(416) 421-3862,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,7:30 AM – 6:00 PM,Closed,Closed,,ChIJQf482sXM1IkRscXMqkxi_fI,high,,,
1116,,4.7,55,https://maps.google.com/?cid=3250907863290769712,(416) 261-4476,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,,ChIJLaqX5wvQ1IkRMHH4RHqLHS0,high,,,
1123,https://www.creativechilddaycare.ca/,5.0,16.0,https://maps.google.com/?cid=7212638893261122151,(416) 653-6305,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,Closed,Closed,,ChIJrTAtm1kxK4gRZ-r-9dtwGGQ,high,,,
1125,http://www.firststageccc.ca/,4.1,13.0,https://maps.google.com/?cid=4268150149650332263,(416) 394-7534,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,Closed,Closed,,ChIJn-kfh4c3K4gRZzrwjfKDOzs,high,,,
